index,doppler_offset,timestamp,measured_freq
125,2142.4367675781,2018-01-13T16:12:14.362011Z,145882142.4367675781
126,2126.1437988281,2018-01-13T16:12:14.462011Z,145882126.1437988281
127,2133.8522949219,2018-01-13T16:12:14.562011Z,145882133.8522949219
128,2128.4570312500,2018-01-13T16:12:14.662011Z,145882128.4570312500
129,2093.4016113281,2018-01-13T16:12:14.762011Z,145882093.4016113281
130,2105.0532226562,2018-01-13T16:12:14.862011Z,145882105.0532226562
131,2134.8823242188,2018-01-13T16:12:14.962011Z,145882134.8823242188
132,2121.9169921875,2018-01-13T16:12:15.062011Z,145882121.9169921875
133,2113.8181152344,2018-01-13T16:12:15.162011Z,145882113.8181152344
134,2146.4916992188,2018-01-13T16:12:15.262011Z,145882146.4916992188
135,2084.8518066406,2018-01-13T16:12:15.362011Z,145882084.8518066406
136,2103.1713867188,2018-01-13T16:12:15.462011Z,145882103.1713867188
137,2112.9326171875,2018-01-13T16:12:15.562011Z,145882112.9326171875
138,2105.1213378906,2018-01-13T16:12:15.662011Z,145882105.1213378906
139,2095.9594726562,2018-01-13T16:12:15.762011Z,145882095.9594726562
140,2090.5463867188,2018-01-13T16:12:15.862011Z,145882090.5463867188
141,2105.5170898438,2018-01-13T16:12:15.962011Z,145882105.5170898438
142,2118.5769042969,2018-01-13T16:12:16.062011Z,145882118.5769042969
143,2094.7978515625,2018-01-13T16:12:16.162011Z,145882094.7978515625
144,2110.9057617188,2018-01-13T16:12:16.262011Z,145882110.9057617188
145,2131.1081542969,2018-01-13T16:12:16.362011Z,145882131.1081542969
146,2108.3366699219,2018-01-13T16:12:16.462011Z,145882108.3366699219
147,2087.6765136719,2018-01-13T16:12:16.562011Z,145882087.6765136719
148,2120.4445800781,2018-01-13T16:12:16.662011Z,145882120.4445800781
149,2115.2597656250,2018-01-13T16:12:16.762011Z,145882115.2597656250
150,2115.7705078125,2018-01-13T16:12:16.862011Z,145882115.7705078125
151,2102.3627929688,2018-01-13T16:12:16.962011Z,145882102.3627929688
152,2124.0683593750,2018-01-13T16:12:17.062011Z,145882124.0683593750
153,2101.7338867188,2018-01-13T16:12:17.162011Z,145882101.7338867188
154,2095.6960449219,2018-01-13T16:12:17.262011Z,145882095.6960449219
155,2102.6738281250,2018-01-13T16:12:17.362011Z,145882102.6738281250
156,2104.9804687500,2018-01-13T16:12:17.462011Z,145882104.9804687500
157,2102.2592773438,2018-01-13T16:12:17.562011Z,145882102.2592773438
158,2092.0839843750,2018-01-13T16:12:17.662011Z,145882092.0839843750
159,2101.9284667969,2018-01-13T16:12:17.762011Z,145882101.9284667969
160,2098.8999023438,2018-01-13T16:12:17.862011Z,145882098.8999023438
161,2119.2077636719,2018-01-13T16:12:17.962011Z,145882119.2077636719
162,2115.9406738281,2018-01-13T16:12:18.062011Z,145882115.9406738281
163,2102.7927246094,2018-01-13T16:12:18.162011Z,145882102.7927246094
164,2101.5358886719,2018-01-13T16:12:18.262011Z,145882101.5358886719
165,2112.3955078125,2018-01-13T16:12:18.362011Z,145882112.3955078125
166,2104.3583984375,2018-01-13T16:12:18.462011Z,145882104.3583984375
167,2107.1940917969,2018-01-13T16:12:18.562011Z,145882107.1940917969
168,2114.8051757812,2018-01-13T16:12:18.662011Z,145882114.8051757812
