index,doppler_offset,timestamp,measured_freq
46,104.8746261597,2018-01-13T16:11:11.462011Z,145880104.8746261597
47,120.9324493408,2018-01-13T16:11:11.562011Z,145880120.9324493408
48,132.6105041504,2018-01-13T16:11:11.662011Z,145880132.6105041504
49,115.9799957275,2018-01-13T16:11:11.762011Z,145880115.9799957275
50,125.9550628662,2018-01-13T16:11:11.862011Z,145880125.9550628662
51,122.0645294189,2018-01-13T16:11:11.962011Z,145880122.0645294189
52,101.1447677612,2018-01-13T16:11:12.062011Z,145880101.1447677612
53,106.7086410522,2018-01-13T16:11:12.162011Z,145880106.7086410522
54,105.5303344727,2018-01-13T16:11:12.262011Z,145880105.5303344727
55,137.9065399170,2018-01-13T16:11:12.362011Z,145880137.9065399170
56,150.3761749268,2018-01-13T16:11:12.462011Z,145880150.3761749268
57,148.8545684814,2018-01-13T16:11:12.562011Z,145880148.8545684814
58,92.5267486572,2018-01-13T16:11:12.662011Z,145880092.5267486572
59,116.2227096558,2018-01-13T16:11:12.762011Z,145880116.2227096558
60,165.6557006836,2018-01-13T16:11:12.862011Z,145880165.6557006836
61,109.8335952759,2018-01-13T16:11:12.962011Z,145880109.8335952759
62,134.9299926758,2018-01-13T16:11:13.062011Z,145880134.9299926758
63,90.1431503296,2018-01-13T16:11:13.162011Z,145880090.1431503296
64,28.9241104126,2018-01-13T16:11:13.262011Z,145880028.9241104126
65,-48.8934669495,2018-01-13T16:11:13.362011Z,145879951.1065330505
66,-74.5330123901,2018-01-13T16:11:13.462011Z,145879925.4669876099
67,-119.4912490845,2018-01-13T16:11:13.562011Z,145879880.5087509155
68,-55.0403327942,2018-01-13T16:11:13.662011Z,145879944.9596672058
69,-61.7728652954,2018-01-13T16:11:13.762011Z,145879938.2271347046
70,-15.5801019669,2018-01-13T16:11:13.862011Z,145879984.4198980331
71,-28.5495910645,2018-01-13T16:11:13.962011Z,145879971.4504089355
72,-49.2364616394,2018-01-13T16:11:14.062011Z,145879950.7635383606
73,-49.4401130676,2018-01-13T16:11:14.162011Z,145879950.5598869324
74,-56.9350776672,2018-01-13T16:11:14.262011Z,145879943.0649223328
75,-57.0465240479,2018-01-13T16:11:14.362011Z,145879942.9534759521
76,-15.5749769211,2018-01-13T16:11:14.462011Z,145879984.4250230789
77,50.7198410034,2018-01-13T16:11:14.562011Z,145880050.7198410034
78,-10.5071783066,2018-01-13T16:11:14.662011Z,145879989.4928216934
79,-27.9238815308,2018-01-13T16:11:14.762011Z,145879972.0761184692
80,-93.6822433472,2018-01-13T16:11:14.862011Z,145879906.3177566528
81,-52.3247489929,2018-01-13T16:11:14.962011Z,145879947.6752510071
82,-56.3563003540,2018-01-13T16:11:15.062011Z,145879943.6436996460
83,-31.1995010376,2018-01-13T16:11:15.162011Z,145879968.8004989624
84,-31.2308845520,2018-01-13T16:11:15.262011Z,145879968.7691154480
85,10.2760477066,2018-01-13T16:11:15.362011Z,145880010.2760477066
86,74.1187438965,2018-01-13T16:11:15.462011Z,145880074.1187438965
